Name,Slug,Brand,Group,Collection,Tagline,Description,Category Slug,Category Label,Subcategory Slug,Subcategory Label,Price,Rating,Reviews Count,Protocols,Functions,Compatibility,Primary Feature Title,Primary Feature Text
Sunricher SR-2300-USB,sr-2300-usb,Sunricher,b2b,Professional · DALI,Главный контроллер (Master) DALI,Центральное устройство для адресации и управления всей DALI-сетью. Позволяет настраивать группы и сцены через ПО.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,96800,4.9,46,DALI-2,Диммирование · CCT контроль · RGBW контроль,DALI Ecosystem · DALI-2 Certified,Центр системы,Обеспечивает питание шины и маршрутизацию команд для всех светильников.
Sunricher SR-2300T-LCD4,sr-2300t-lcd4,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,92800,4.7,5,DALI,Диммирование · CCT контроль · RGBW контроль,DALI Ecosystem,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2300T-OLED,sr-2300t-oled,Sunricher,b2b,Professional · DALI,Главный контроллер (Master) DALI,Центральное устройство для адресации и управления всей DALI-сетью. Позволяет настраивать группы и сцены через ПО.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,56400,4.8,40,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Центр системы,Обеспечивает питание шины и маршрутизацию команд для всех светильников.
Sunricher SR-GW-EDA,sr-gw-eda,Sunricher,b2b,Professional · DALI,Главный контроллер (Master) DALI,Центральное устройство для адресации и управления всей DALI-сетью. Позволяет настраивать группы и сцены через ПО.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,211200,5.0,5,DALI-2,Диммирование · CCT контроль · RGBW контроль,DALI Ecosystem · DALI-2 Certified,Центр системы,Обеспечивает питание шины и маршрутизацию команд для всех светильников.
Sunricher SR-GW-EDA4,sr-gw-eda4,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,396800,4.8,22,DALI-2,Диммирование · CCT контроль · RGBW контроль,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-GW-TDA,sr-gw-tda,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-GW-TDA обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,153600,4.8,10,DALI,Диммирование · CCT контроль · RGBW контроль,DALI Ecosystem · Tuya Smart,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-KN9100,sr-kn9100,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-KN9100 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,protocol-converters,Конвертеры протоколов,114400,5.0,45,DALI · KNX,Диммирование · CCT контроль · RGBW контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400PS,sr-2400ps,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400PS обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,5900,4.8,16,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400P,sr-2400p,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400P обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,10500,4.9,15,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400PEA,sr-2400pea,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400PEA обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,10500,5.0,16,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
